mm from the focus	Amplitude
-4.1	0.33
-4	0.34
-3.9	0.345
-3.8	0.35
-3.7	0.36
-3.6	0.36
-3.5	0.375
-3.4	0.385
-3.3	0.39
-3.2	0.4
-3.1	0.41
-3	0.42
-2.9	0.43
-2.8	0.44
-2.7	0.45
-2.6	0.46
-2.5	0.47
-2.4	0.48
-2.3	0.49
-2.2	0.5
-2.1	0.51
-2	0.53
-1.9	0.54
-1.8	0.55
-1.7	0.57
-1.6	0.59
-1.5	0.6
-1.4	0.61
-1.3	0.62
-1.2	0.62
-1.1	0.62
-1	0.625
-0.9	0.64
-0.8	0.75
-0.7	0.98
-0.6	1.23
-0.5	1.49
-0.4	1.74
-0.3	1.92
-0.2	2.08
-0.1	2.18
0	2.18
0.1	2.12
0.2	1.97
0.3	1.79
0.4	1.58
0.5	1.39
0.6	1.22
0.7	1.085
0.8	0.98
0.9	0.895
1	0.825
1.1	0.77
1.2	0.705
1.3	0.645
1.4	0.595
1.5	0.54
1.6	0.5
1.7	0.46
1.8	0.43
1.9	0.39
2	0.36
2.1	0.33
2.2	0.305
2.3	0.28
2.4	0.26
2.5	0.24
2.6	0.22
2.7	0.205
2.8	0.19
2.9	0.175
3	0.165
